Campaign,Ad Group,Keyword,Match Type,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2
BUISAN_Search_Local_2026,Plans de travail,plan de travail granit,Phrase,,,,,,
BUISAN_Search_Local_2026,Plans de travail,plan de travail quartz,Phrase,,,,,,
BUISAN_Search_Local_2026,Plans de travail,plan de travail marbre,Phrase,,,,,,
BUISAN_Search_Local_2026,Plans de travail,plan de travail sur mesure,Phrase,,,,,,
BUISAN_Search_Local_2026,Plans de travail,plan de travail cuisine,Phrase,,,,,,
BUISAN_Search_Local_2026,Plans de travail,plan de travail sur mesure granit,Exact,,,,,,
BUISAN_Search_Local_2026,Marbrerie generale,marbrerie,Phrase,,,,,,
BUISAN_Search_Local_2026,Marbrerie generale,marbrier,Phrase,,,,,,
BUISAN_Search_Local_2026,Marbrerie generale,marbrerie aude,Exact,,,,,,
BUISAN_Search_Local_2026,Marbrerie generale,marbrerie carcassonne,Exact,,,,,,
BUISAN_Search_Local_2026,Marbrerie generale,marbrier carcassonne,Exact,,,,,,
BUISAN_Search_Local_2026,Funeraire,monument funéraire,Phrase,,,,,,
BUISAN_Search_Local_2026,Funeraire,pierre tombale,Phrase,,,,,,
BUISAN_Search_Local_2026,Funeraire,marbrerie funéraire,Phrase,,,,,,
BUISAN_Search_Local_2026,Deco sur mesure,table en marbre,Phrase,,,,,,
BUISAN_Search_Local_2026,Deco sur mesure,vasque en pierre,Phrase,,,,,,
BUISAN_Search_Local_2026,Deco sur mesure,escalier en pierre,Phrase,,,,,,
BUISAN_Search_Local_2026,Deco sur mesure,cheminée en marbre,Phrase,,,,,,
BUISAN_Search_Local_2026,,emploi,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,recrutement,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,salaire,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,formation,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,métier,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,fiche métier,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,définition,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,wikipedia,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,leroy merlin,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,castorama,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,ikea,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,brico,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,occasion,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,gratuit,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,pas cher,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,leboncoin,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,stratifié,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,bois,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,nettoyer,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,entretien,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,réparer,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,rénover soi même,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,diy,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,salaire marbrier,Campaign Negative Broad,,,,,,
BUISAN_Search_Local_2026,,cap marbrier,Campaign Negative Broad,,,,,,
